timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1481269123390840,0,-2,-1,-3,-1,-1,0,0
1481269123390840,0,3,-2,-2,-1,-2,2,-2
1481269123395920,-3,-3,0,5,1,-1,-1,-1
1481269123395920,1,-4,-2,-7,-2,-2,2,-1
1481269123396869,-2,4,-1,-1,0,-2,1,-1
1481269123396869,-2,-2,-2,-1,-1,2,-2,1
1481269123398846,0,-3,2,0,0,1,1,1
1481269123398846,-3,0,-1,0,0,1,-1,-2
1481269123408842,-3,-1,0,0,1,-1,-1,-2
1481269123408842,3,0,2,1,0,-1,-1,0
1481269123420946,-2,-4,-5,-3,0,-2,-3,-1
1481269123420946,2,0,3,2,-2,-3,-3,-4
1481269123424443,-1,-6,-16,-3,-3,-1,-1,-4
1481269123424443,0,-2,-2,0,-1,1,-1,-1
1481269123438686,0,0,-2,-4,-2,0,-2,-1
1481269123438686,-1,-1,-1,-2,0,-1,0,0
1481269123447686,0,-1,4,0,-1,0,0,2
1481269123447686,-2,-3,1,0,-3,-2,-2,-1
1481269123455720,0,-1,-2,-1,0,-2,0,0
1481269123455720,-1,-2,2,3,0,1,0,-1
1481269123468688,2,1,1,-6,-2,-1,1,0
1481269123468688,-1,-5,-7,-3,-1,-2,2,-1
1481269123479753,3,3,0,-4,-2,-1,1,-1
1481269123479753,-1,-3,-3,-2,-1,1,0,-2
1481269123516694,2,3,-5,-1,1,-2,-1,2
1481269123516694,-3,-1,1,1,0,0,-2,-3
1481269123517755,-1,-1,0,-2,-1,-1,-2,0
1481269123517755,0,3,-2,-3,-1,2,-1,0
1481269123517755,-1,2,-1,3,-1,0,-1,1
1481269123517755,0,-3,-2,0,-1,-1,1,0
1481269123521701,0,0,1,0,-3,0,-1,-2
1481269123521701,0,-2,1,0,-2,-2,-1,-1
1481269123529202,2,-1,1,0,-3,-2,-1,-1
1481269123529202,-2,-1,2,1,0,-2,-1,1
1481269123537798,-1,1,0,0,-1,-1,-2,1
1481269123537798,-2,-5,1,0,-1,-2,0,0
1481269123543807,-1,-1,-1,0,0,1,1,-1
1481269123543807,-6,1,2,3,2,0,-3,-6
1481269123558807,-1,-2,-2,0,-1,-1,0,-3
1481269123558807,0,-1,0,-2,-2,0,-2,-4
1481269123566734,-4,-3,0,-2,-1,-2,-1,-1
1481269123566734,3,1,-3,-2,-2,-1,-1,1
1481269123581756,-2,-2,-1,-1,2,0,-1,-1
1481269123581756,-1,0,-2,0,0,-2,-1,-1
1481269123588806,0,-3,-1,-2,0,0,0,-3
1481269123588806,2,-1,-1,0,0,0,-1,-1
1481269123597827,0,-1,1,2,-1,0,-1,0
1481269123597827,-1,-3,-2,1,0,-1,-2,0
1481269123603810,-1,-1,0,-1,0,-2,-2,0
1481269123603810,1,-1,-1,-1,-2,-2,1,-1
1481269123618735,1,-2,-1,-2,0,-1,0,-1
1481269123618735,-2,2,1,-1,1,0,-1,-1
1481269123626741,1,-1,-1,0,-1,-2,-2,-2
1481269123626741,-1,-2,0,-1,-1,1,-3,-2
1481269123641275,1,2,-1,-3,-1,0,-1,0
1481269123641275,-1,-4,-1,0,-1,1,1,0
1481269123649382,0,-3,0,-1,-1,0,0,0
1481269123649382,-2,-1,-1,-1,2,0,-1,-2
1481269123666250,0,-4,-2,0,0,-2,0,-1
1481269123666250,-1,-3,-2,-3,-1,-1,0,-1
1481269123667285,0,-2,0,0,-1,-1,-2,-1
1481269123667285,-1,1,1,-3,-1,-1,0,2
1481269123679315,-4,-4,1,0,0,0,0,0
1481269123679315,-2,-1,1,4,0,-2,1,-1
1481269123686251,-1,-4,0,0,-1,-1,-2,-2
1481269123686251,-5,-3,0,2,0,0,-1,-1
1481269123701255,0,-1,-2,-3,-2,-1,-1,-1
1481269123701255,-1,-2,0,0,-2,-3,-1,0
1481269123709317,-3,-5,-1,-1,1,0,-2,-4
1481269123709317,4,-1,0,-4,-1,-3,0,2
1481269123718257,-4,1,0,3,0,1,-1,-3
1481269123718257,-4,-3,1,2,0,1,-3,-2
1481269123724345,1,3,0,-1,-1,-3,0,0
1481269123724345,-3,-3,-1,-1,0,-1,0,-1
1481269123739338,0,0,2,3,-1,-2,-2,-1
1481269123739338,2,-1,-1,-2,-2,0,0,2
1481269123746275,-3,-1,2,2,-1,1,0,-2
1481269123746275,-1,0,-2,-1,-3,-1,-3,-1
1481269123761272,-2,-3,0,-2,-1,-1,0,-1
1481269123761272,-1,-2,-3,-2,-1,0,-2,-2
1481269123769335,0,-3,-1,-2,-1,-1,-1,0
1481269123769335,3,-1,-2,0,-2,0,0,1
1481269123786273,-1,0,0,-1,-1,-1,0,-1
1481269123786273,1,0,-2,-2,0,-1,-1,-2
1481269123787308,0,-2,-2,0,0,-1,-2,0
1481269123787308,1,0,-3,-3,-1,0,-2,1
1481269123799340,4,-1,0,-3,-3,-2,-1,0
1481269123799340,-2,1,2,-1,-1,-1,0,2
1481269123806277,-1,-1,0,-1,-3,0,2,0
1481269123806277,-1,-2,-2,-2,-1,0,1,-3
1481269123821856,-2,0,-1,2,0,1,0,-1
