timestamp,x,y,z
1481269123237811,-1.75,0.3125,0.0625
1481269123252811,0.0625,0.3125,-0.4375
1481269123273813,1.125,0.5,-0.9375
1481269123297815,-1.1875,0.6875,-1.0625
1481269123312814,-2.1875,0.6875,-0.6875
1481269123334327,-1.375,0.8125,-0.375
1481269123357839,-1,1.0625,-0.1875
1481269123388842,-1.4375,1.125,0.125
1481269123397846,-1.25,1.375,-0.0625
1481269123418905,-1.4375,1.5,-0.125
1481269123432946,-1.375,1.75,0.0625
1481269123454688,-1.3125,1.625,0.125
1481269123478692,0.9375,1.5,-0.4375
1481269123506776,0.75,1.0625,-0.5
1481269123519199,-0.125,0.5,-0.4375
1481269123536778,0.9375,-0.0625,-0.4375
1481269123551730,1.5,-0.3125,-0.3125
1481269123573821,0.625,-0.4375,0.25
1481269123596800,1.0625,-0.3125,0.625
1481269123611824,1.625,-0.1875,0.75
1481269123634244,0.25,-0.0625,0.875
1481269123665254,0.1875,-0.0625,0.4375
1481269123671254,1.125,-0.125,-0.3125
1481269123694321,1.1875,-0.5,-0.5625
1481269123717266,1.1875,-0.75,-0.5
1481269123731765,1.3125,-0.75,-0.875
1481269123754310,0.75,-0.5625,-1.75
1481269123785272,-1.125,-0.3125,-2.125
1481269123791277,-1.5,0.375,-2.125
1481269123814345,-0.8125,0.6875,-0.875
1481269123836904,0.25,1.125,0.4375
1481269123851890,1.8125,1.625,1.5625
1481269123873827,3.9375,1.9375,1.25
1481269123896902,1.875,2,1.1875
1481269123919909,-2.125,1.9375,1.625
1481269123933948,-2.625,1.625,2.3125
1481269123957509,0.0625,1.5,3.125
1481269123979443,2.625,1.5,3.125
1481269123994565,3.0625,1.1875,2.75
1481269124017450,3.5,1,1.625
1481269124040062,0.5625,1,0.9375
1481269124062026,-3.8125,-0.6875,1.4375
1481269124077031,1.75,-3.4375,1.25
1481269124100094,6.0625,-3.125,0.8125
1481269124114050,0.3125,-2.3125,1.875
1481269124137167,-0.625,-1.6875,3
1481269124160156,2.625,-1.25,2.875
1481269124174087,2.875,-2,2.3125
1481269124197091,0,-2.8125,2.75
1481269124220138,-1.75,-3.1875,3.0625
1481269124234154,-1.875,-2.75,3.125
1481269124257655,-2.0625,-2.75,3.375
1481269124279656,-0.375,-2.625,3.75
1481269124293656,1.6875,-1.9375,2.625
1481269124317592,1.4375,-1.75,1.625
1481269124341312,0.3125,-1.5625,0.75
1481269124354374,-0.9375,-0.6875,0.375
1481269124377313,-4.1875,0.3125,0
1481269124399313,-4.8125,0.6875,-0.1875
1481269124414315,0.3125,1.375,-1.0625
1481269124436916,1.3125,2.4375,-2.25
1481269124459916,-4,3.75,-2.125
1481269124473832,-8.5,5.0625,-1
1481269124496901,-9.3125,5.5,0.4375
1481269124518919,-6.5625,4.625,2.125
1481269124534413,-2.1875,3.375,3.125
1481269124556950,0,1.6875,2.6875
1481269124580945,-2.25,-0.5,1.4375
1481269124593944,-4.25,-2.0625,0.3125
1481269124617944,-4.0625,-2.625,-0.375
1481269124639050,-2.375,-1.875,-0.4375
1481269124654051,-2.9375,-0.5625,0.5
1481269124675959,-4.75,0.5,1.3125
1481269124698960,-5.4375,0.875,1.25
1481269124713961,-4.125,0.875,1.0625
1481269124736976,-2.5625,0.9375,1.125
1481269124758977,-1.4375,1.0625,1.125
1481269124773979,-0.8125,0.8125,1.5
1481269124795980,-2.5625,0.875,1.625
1481269124818981,-2.9375,0.4375,1.3125
1481269124834491,0.1875,0.3125,0.375
1481269124856493,2.4375,-0.0625,-0.5
1481269124878995,1,-0.375,-1
1481269124893997,-0.1875,-0.125,-1.125
1481269124917000,-1.625,0.1875,-1.0625
1481269124939003,-3.3125,0.1875,-0.6875
1481269124955505,-0.875,0,-1
1481269124976507,1.5,0.0625,-1.875
1481269124999529,-0.375,-0.0625,-2.1875
1481269125015512,-3.4375,-0.375,-1.8125
1481269125036515,-2.4375,0.1875,-1.5
1481269125059018,-1.875,0.625,-1.4375
1481269125075520,-2.625,0.8125,-1.25
1481269125096523,-1.1875,0.625,-1.25
1481269125119533,0.75,0.75,-1.625
1481269125135529,-0.75,1,-1.25
1481269125156531,-3.6875,1.5,-0.6875
1481269125179033,-3.4375,1.375,-0.125
1481269125195535,0,1.1875,-0.125
1481269125216538,1.5,0.6875,-0.3125
1481269125239041,0.5625,0.3125,-0.5
1481269125255543,0.3125,-0.1875,-0.1875
1481269125276545,3.4375,-0.125,0
1481269125299049,1.125,0.6875,0.3125
1481269125315551,-0.75,1.4375,-0.375
1481269125336554,1,2.0625,-1.9375
1481269125359056,-1.0625,2.8125,-2.625
1481269125375558,-4.3125,2.625,-2.3125
1481269125396561,-3.5,2.75,-2
1481269125419064,-0.0625,3.125,-1.5625
1481269125435566,-0.1875,3,-1.5
1481269125457068,0.6875,2.4375,-1
1481269125479071,2,2,-1.5
1481269125495574,2.125,0.8125,-1.5
1481269125516576,1.25,0.8125,-1.25
1481269125539085,-2.125,1,-1.0625
1481269125561087,-3.625,0.8125,-1.3125
1481269125576088,-0.375,0.4375,-2
1481269125599088,1.625,-0.25,-2.625
1481269125621597,0.5625,-0.125,-2.375
1481269125636599,-2.625,0.1875,-1.875
