timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1481271437881712,3,-3,-4,-6,-7,-7,1,-2
1481271437881712,-5,-3,3,-1,-1,0,-5,-5
1481271437883712,-2,-2,-2,-6,-2,-1,2,-2
1481271437883712,6,5,0,1,-4,3,4,3
1481271437884746,2,-3,1,-6,-4,-2,-2,-6
1481271437884746,1,3,3,4,6,-2,-2,0
1481271437887712,5,2,-1,8,8,9,3,11
1481271437887712,2,-1,-2,2,2,-4,2,-2
1481271437893713,-12,-4,1,0,2,2,-10,-3
1481271437893713,2,3,-3,3,2,0,5,1
1481271437910713,-2,0,2,-6,-3,-3,-2,-4
1481271437910713,-5,-2,0,-8,-5,-8,-6,-7
1481271437917733,-3,-3,-2,-5,-10,-4,-5,-7
1481271437917733,1,1,-4,-2,7,-3,1,6
1481271437932740,-1,0,2,-5,-6,-6,-4,-6
1481271437932740,2,-3,-1,3,-1,1,-1,-1
1481271437932740,7,4,-2,2,2,2,10,7
1481271437932740,-2,-3,3,1,3,7,6,8
1481271437948741,-4,-1,4,0,-6,-2,-3,-7
1481271437948741,7,-3,-1,0,-3,-1,0,0
1481271437953740,-3,-3,2,1,-1,1,0,-1
1481271437953740,-5,-7,2,-2,-3,-5,-3,-6
1481271437979743,-4,-3,-7,-3,0,-6,-2,3
1481271437979743,-2,3,2,0,1,3,2,2
1481271437980744,-5,-4,-3,0,4,4,-1,2
1481271437980744,-3,3,-1,-2,-5,2,2,-5
1481271437992876,-1,-4,-3,-1,-1,-2,0,5
1481271437992876,4,0,5,2,4,-1,5,0
1481271437992876,4,3,4,2,4,-3,-1,-7
1481271437992876,-1,-5,-3,-4,-4,1,2,-2
1481271438015319,1,-1,-4,0,-4,-1,-3,-1
1481271438015319,-7,-1,-1,0,1,1,-5,-3
1481271438015756,-3,-1,2,-2,-5,-3,0,-2
1481271438015756,3,-2,1,0,-4,-9,0,3
1481271438037768,-1,0,1,1,2,-6,-5,-11
1481271438037768,-4,-3,-5,-9,-6,-7,-6,-3
1481271438038768,3,0,-1,0,1,6,1,1
1481271438038768,-2,0,0,-1,-2,1,-5,-3
1481271438052852,-6,1,-1,3,0,5,2,-1
1481271438052852,3,4,-3,-3,0,4,6,5
1481271438053770,2,-2,0,-2,-5,2,1,3
1481271438053770,-7,-4,-1,2,-1,4,2,0
1481271438066769,2,3,1,6,7,0,-1,2
1481271438066769,-2,-4,-1,-3,-5,-4,-4,-1
1481271438082918,-5,1,0,-5,-4,-7,-6,-9
1481271438082918,1,-3,-3,-4,-9,-3,-6,-5
1481271438088881,3,-6,-4,-5,-2,1,-4,3
1481271438088881,-3,-3,-2,-5,-7,-8,-12,-10
1481271438097855,0,-4,-5,3,1,-3,-3,-6
1481271438097855,3,0,-6,1,5,3,3,6
1481271438120786,3,-3,0,-5,-1,-5,-2,1
1481271438120786,-6,3,-3,-2,-2,0,-8,-2
1481271438121309,2,-1,1,4,6,9,9,13
1481271438121309,-2,6,4,-2,-4,-2,-6,3
1481271438126786,-7,-1,0,-7,-10,-6,-7,-7
1481271438126786,-6,-2,-4,-6,-6,-4,-4,-2
1481271438133814,-4,-2,-4,-6,-3,-3,4,0
1481271438133814,-5,-4,2,-7,-8,-7,-13,-5
1481271438159796,-1,-6,-1,-2,0,3,-1,3
1481271438159796,8,3,3,2,-2,3,10,6
1481271438159796,-1,0,1,-1,-2,1,-4,0
1481271438159796,-4,-7,2,0,4,0,1,-5
1481271438171867,7,5,1,7,5,3,12,2
1481271438171867,0,-4,2,3,4,1,4,2
1481271438172942,-7,1,4,-5,-6,-6,-8,-12
1481271438172942,0,-1,0,4,8,7,5,3
1481271438187942,-2,-1,-3,1,-4,1,7,5
1481271438187942,-8,-5,-2,-3,-2,-4,-4,-5
1481271438193798,-1,-1,-1,0,-1,-1,-7,-4
1481271438193798,5,4,-4,-3,-2,2,6,1
1481271438208797,-2,0,5,-6,-8,2,-3,-3
1481271438208797,-6,-10,-3,-1,0,-5,-3,-4
1481271438225311,7,5,-5,-4,3,5,5,7
1481271438225311,2,1,1,3,-5,-1,1,1
1481271438232640,-4,1,1,2,1,-3,-5,-6
1481271438232640,6,2,1,3,4,6,7,11
1481271438232640,3,-3,1,6,1,-4,4,6
1481271438232640,-4,-3,1,0,2,0,-5,2
1481271438254639,-3,3,-2,4,3,-1,3,-4
1481271438254639,-2,-2,2,-9,-4,-2,-3,0
1481271438255640,-6,-5,0,-7,-4,-4,-3,-11
1481271438255640,-5,2,1,-4,-1,-6,-4,-7
1481271438268639,6,-3,0,-2,-1,-7,-7,5
1481271438268639,-1,4,1,1,5,2,0,6
1481271438277648,-3,3,5,7,10,4,-1,3
1481271438277648,6,3,-1,6,7,5,12,8
1481271438292726,4,7,1,0,2,3,5,3
1481271438292726,-2,-2,3,2,-2,0,-3,-6
1481271438292726,-1,-6,0,-5,-2,3,-1,0
1481271438292726,-1,-3,-3,-10,-10,-11,-9,-5
1481271438306728,-9,-8,-1,-3,2,-3,-6,-5
1481271438306728,-3,-4,2,4,2,4,4,-5
1481271438314661,2,0,-5,0,-1,-3,2,-2
1481271438314661,-4,-5,2,-9,-8,-5,-1,-1
1481271438330661,-3,-1,3,3,0,-1,-1,3
1481271438330661,7,7,-5,1,-3,4,2,6
1481271438337662,-1,-2,-4,0,-4,-4,-2,6
1481271438337662,-2,-5,-4,-7,-4,-5,-9,-7
1481271438360664,-8,-5,0,0,0,2,2,1
1481271438360664,2,3,-7,-4,0,-2,2,-1
1481271438361664,-3,-8,0,-4,-5,-7,-8,-4
1481271438361664,-4,-3,0,0,3,0,-1,1
1481271438366663,2,6,1,-4,-1,4,4,1
1481271438366663,-6,-8,2,-4,-4,-5,-6,-1
1481271438374716,-1,0,1,-2,-4,-1,-3,-6
1481271438374716,2,-3,-3,0,0,4,5,5
