timestamp,x,y,z
1481271437822202,-2.375,-11,8.1875
1481271437842710,-0.0625,-9.25,6.9375
1481271437882713,1.8125,-8.75,-1.5625
1481271437887712,1.5625,-5.125,-3.5
1481271437909715,-0.125,3.6875,4.25
1481271437918297,-11.9375,7.4375,1.4375
1481271437947740,-3.5625,5.1875,-1.125
1481271437978743,8.125,-0.6875,-4.0625
1481271437980744,0.8125,-0.3125,-0.6875
1481271437999784,-11.3125,-1.1875,2.1875
1481271438021756,-3.4375,-0.75,1.0625
1481271438039769,7.4375,-2.125,-0.125
1481271438059804,2.6875,-1.3125,-0.125
1481271438082918,-3.375,-1.1875,-1.375
1481271438097855,-4.1875,1.625,-1
1481271438122306,2.4375,3.4375,1.25
1481271438158796,-2.75,4.4375,2.375
1481271438160802,-1.0625,-0.1875,-0.4375
1481271438187942,4.0625,-2.8125,-3.75
1481271438201798,5.0625,-2.375,-0.4375
1481271438225810,-8.125,-2.1875,2.3125
1481271438239675,-3.5,-0.6875,0.375
1481271438261640,4.75,-1.75,-3.25
1481271438277648,-0.6875,-0.625,-0.4375
1481271438299678,1.1875,-0.875,2.25
1481271438329659,-2.875,-1.75,-0.25
1481271438337662,-6.75,-3.25,-1.125
1481271438361664,2.0625,-2.625,-0.0625
1481271438381664,6.375,-1.0625,1.8125
1481271438399663,-2.0625,-0.25,2.5625
1481271438435685,8.125,4.5,-14.4375
1481271438441767,13.75,-22.5,-39.25
1481271438465695,2.0625,0.875,-30.0625
1481271438478686,-10,-8.5,-32.125
1481271438502685,-6.375,-7.875,-18.4375
1481271438518693,8.75,-3,-0.75
1481271438540704,7.8125,-12.375,-4.1875
1481271438569710,-13.5,-4.9375,2.1875
1481271438577708,-32.625,14.9375,25.5625
1481271438608709,3.5,15.4375,22.9375
1481271438621719,-5.75,8.25,5.5
1481271438639727,-25.5625,-1.125,-8.1875
1481271438660727,3.875,-2.1875,0.4375
1481271438681729,3.4375,4.25,6
1481271438714238,-1.4375,-7.0625,-0.4375
1481271438720741,7.1875,-4.1875,2.625
1481271438744747,3.4375,2.1875,5.6875
1481271438757815,-3.0625,-2.9375,0
1481271438781822,-6.1875,0.4375,-3.875
1481271438809769,-22.8125,5.625,-1.1875
1481271438818307,-14.75,6,-4.4375
1481271438848577,-4.4375,8.0625,2.25
1481271438861577,-9.8125,7.125,7.8125
1481271438885580,-19.3125,1.625,4.125
1481271438900580,-1.5,12.0625,-1.625
