timestamp,x,y,z
1481274127010932,-0.0615234,-0.369629,0.947754
1481274127027441,-0.0532227,-0.387207,0.941895
1481274127055440,-0.0620117,-0.387695,0.952637
1481274127070445,-0.0634766,-0.383301,0.950684
1481274127086444,-0.0576172,-0.367188,0.954102
1481274127115456,-0.0639648,-0.381836,0.944336
1481274127130533,-0.0693359,-0.38623,0.943359
1481274127146458,-0.0639648,-0.390137,0.942383
1481274127169461,-0.0620117,-0.365723,0.951172
1481274127191496,-0.0629883,-0.369141,0.949707
1481274127207470,-0.0615234,-0.384277,0.956055
1481274127229476,-0.065918,-0.389648,0.967773
1481274127250547,-0.0629883,-0.385254,0.964355
1481274127266477,-0.0649414,-0.372559,0.970215
1481274127289478,-0.0673828,-0.368652,0.964355
1481274127310989,-0.0668945,-0.374512,0.971191
1481274127334495,-0.0566406,-0.381348,0.964355
1481274127349495,-0.0639648,-0.365723,0.962402
1481274127370569,-0.0698242,-0.364258,0.962402
1481274127394500,-0.0625,-0.370117,0.953125
1481274127433068,-0.0678711,-0.371094,0.955078
1481274127435068,-0.0683594,-0.36377,0.952148
1481274127448068,-0.0605469,-0.366211,0.95166
1481274127469070,-0.0610352,-0.368652,0.952637
1481274127490071,-0.0600586,-0.375977,0.948242
1481274127506658,-0.0561523,-0.380371,0.955566
1481274127529666,-0.0595703,-0.369141,0.950195
1481274127557668,-0.0615234,-0.369629,0.938965
1481274127566669,-0.0517578,-0.375488,0.944824
1481274127589668,-0.0556641,-0.378418,0.947266
1481274127610756,-0.0639648,-0.366699,0.944824
1481274127626763,-0.0644531,-0.374023,0.953125
1481274127649766,-0.0668945,-0.378906,0.95459
1481274127670766,-0.0644531,-0.372559,0.939453
1481274127686767,-0.0625,-0.366699,0.947754
1481274127709784,-0.0693359,-0.373535,0.952148
1481274127730792,-0.0678711,-0.385742,0.958008
1481274127746793,-0.0668945,-0.386719,0.951172
1481274127769793,-0.0644531,-0.379883,0.95166
1481274127790800,-0.0634766,-0.379883,0.952637
1481274127806381,-0.0742188,-0.371582,0.945801
1481274127836890,-0.0712891,-0.398926,0.951172
1481274127850891,-0.0683594,-0.38623,0.944824
1481274127865963,-0.0698242,-0.375977,0.95166
1481274127889890,-0.0786133,-0.365723,0.949219
1481274127910973,-0.0712891,-0.369629,0.947754
1481274127926642,-0.0708008,-0.374512,0.941406
1481274127949648,-0.0703125,-0.37207,0.948242
1481274127970651,-0.0664063,-0.378418,0.937012
1481274127986648,-0.0756836,-0.382324,0.941895
1481274128009230,-0.0751953,-0.375488,0.935547
1481274128030152,-0.0678711,-0.373047,0.935547
1481274128046144,-0.0751953,-0.368652,0.933105
1481274128069145,-0.0776367,-0.382813,0.937988
1481274128090228,-0.0761719,-0.382324,0.94043
1481274128114249,-0.0693359,-0.372559,0.948242
1481274128129244,-0.0786133,-0.381348,0.95166
1481274128150251,-0.078125,-0.378418,0.961426
