timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1481274127011432,-1,1,0,-4,-22,-8,-7,-3
1481274127011432,1,-1,-1,2,24,2,-2,1
1481274127026438,-1,-1,-1,-1,14,0,1,1
1481274127026438,0,-2,-4,-2,-3,-2,0,-1
1481274127027441,1,-1,2,3,11,-1,2,-1
1481274127027441,-1,-4,-2,5,-33,-3,1,-3
1481274127040441,0,0,-8,-26,-4,-4,-4,-3
1481274127040441,-2,-3,-1,-3,-11,4,-2,-3
1481274127056442,-1,0,-4,-2,11,-2,-3,-2
1481274127056442,-1,4,7,12,1,-1,-1,0
1481274127062441,-1,-1,-9,-10,-3,6,0,1
1481274127062441,-2,-1,1,0,-8,-5,-2,-3
1481274127071441,-1,-1,0,-4,-8,1,0,-1
1481274127071441,1,-2,-4,-2,13,-4,-2,-2
1481274127085445,-3,-1,2,3,-8,-1,-2,-3
1481274127085445,1,0,0,1,-2,-5,-1,0
1481274127092442,-2,-1,-1,-1,2,1,-2,1
1481274127092442,-2,-3,-1,-3,-5,-5,-2,0
1481274127099949,0,1,2,6,9,3,5,-2
1481274127099949,2,1,2,5,-7,2,0,0
1481274127116458,0,0,-4,-4,21,0,-2,0
1481274127116458,-2,-1,-2,1,-3,2,0,-1
1481274127122457,-1,0,2,0,-11,-3,-1,0
1481274127122457,-1,0,3,3,15,-3,-3,0
1481274127131457,0,0,-4,-3,-65,-6,-3,-2
1481274127131457,1,2,4,7,26,12,2,0
1481274127145460,-1,-2,-5,5,6,-4,3,-1
1481274127145460,0,-1,-3,-21,-22,-4,-1,0
1481274127152459,-3,-2,-6,6,25,2,-3,-1
1481274127152459,0,-3,-1,1,-10,-7,-4,-3
1481274127168535,-3,-3,2,1,-7,1,-3,0
1481274127168535,-1,-2,0,1,2,3,-4,-2
1481274127170465,0,-2,-1,-2,10,-4,-1,0
1481274127170465,1,0,-4,-3,-19,0,7,0
1481274127182532,0,2,1,-3,19,3,0,-1
1481274127182532,-2,-2,-4,2,-13,-5,-6,0
1481274127197461,-1,0,4,2,27,3,0,-1
1481274127197461,1,0,-1,1,8,-4,-3,-1
1481274127205970,0,0,3,3,-9,0,-3,1
1481274127205970,-3,-3,-1,1,2,6,4,-2
1481274127212469,1,0,1,0,-14,1,2,0
1481274127212469,-1,0,-3,-12,2,-2,-3,0
