timestamp,x,y,z
1481274127010932,-1.75,0.3125,-1.1875
1481274127027441,-1.75,0.4375,-1.3125
1481274127055440,-0.25,1.1875,-1.375
1481274127070445,1.1875,1.5,-1.0625
1481274127086444,0.3125,1.375,-1.5
1481274127115456,-1.5,1.3125,-2
1481274127130533,-0.125,1.1875,-2.125
1481274127146458,2.3125,1.5625,-1.4375
1481274127169461,2.375,2.0625,-1
1481274127191496,-1.625,1.9375,-1.625
1481274127207470,-3.25,1.8125,-2.25
1481274127229476,-0.875,1.5625,-2.0625
1481274127250547,1.1875,2.125,-2
1481274127266477,2,1.4375,-2.3125
1481274127289478,1.125,0.75,-2.4375
1481274127310989,-0.1875,0.125,-2.375
1481274127334495,1.0625,0.125,-1.8125
1481274127349495,2.125,0.25,-1.625
1481274127370569,1.5625,-0.3125,-1.4375
1481274127394500,0.5625,-0.75,-1.125
1481274127433068,0.75,-0.875,-0.5625
1481274127435068,0.5,-1.1875,0
1481274127448068,-0.9375,-1.375,0.375
1481274127469070,-2,-1.5,0.625
1481274127490071,-1.875,-1.125,0.3125
1481274127506658,0.1875,-1.0625,0.625
1481274127529666,1.625,-0.625,0.6875
1481274127557668,0.0625,-0.5,0.6875
1481274127566669,-1.5625,-0.125,0.6875
1481274127589668,-0.625,0.4375,0.625
1481274127610756,0.8125,0.5625,0.25
1481274127626763,-1.0625,0.6875,0.25
1481274127649766,0.125,1.4375,0.625
1481274127670766,1.125,2.0625,1.0625
1481274127686767,-0.125,1.9375,0.625
1481274127709784,-2.875,2.3125,0.625
1481274127730792,-2.1875,1.1875,0.75
1481274127746793,-0.0625,0.9375,0.625
1481274127769793,0.3125,1.1875,0.5
1481274127790800,-0.4375,1.25,0.375
1481274127806381,-2.125,1.25,0.25
1481274127836890,-2.125,1.0625,0.625
1481274127850891,2.0625,0.25,0.9375
1481274127865963,5.25,0.8125,1.125
1481274127889890,3.125,0.9375,0.375
1481274127910973,0.6875,1.625,0
1481274127926642,-0.0625,1.6875,0.3125
1481274127949648,-2.1875,1.875,1
1481274127970651,-2,1.75,0.875
1481274127986648,-1.375,2.0625,1.0625
1481274128009230,0.0625,2.3125,1.5
1481274128030152,-0.3125,2.25,1.6875
1481274128046144,-3.375,2.5625,1.8125
1481274128069145,-5.3125,2.8125,2.4375
1481274128090228,-3.6875,3.1875,2.0625
1481274128114249,-3,4,1.9375
1481274128129244,-2.1875,4.0625,2
1481274128150251,-1.375,4.9375,1.8125
1481274128166247,-2.8125,6.9375,1.3125
1481274128189248,-4.5625,7.125,1.1875
1481274128212254,-3.3125,5.9375,2
1481274128233263,-1.5,5.125,2.5
1481274128249263,-1.1875,4.4375,2.125
1481274128279265,-3.625,3.875,1.1875
