timestamp,x,y,z,w
1481274127010932,-0.137451,0.129822,-0.548157,0.814697
1481274127027441,-0.137878,0.130005,-0.54834,0.814514
1481274127055440,-0.137939,0.130188,-0.548523,0.814331
1481274127070445,-0.137695,0.13031,-0.548706,0.814209
1481274127086444,-0.137512,0.130371,-0.549011,0.814087
1481274127115456,-0.137695,0.130676,-0.549255,0.813782
1481274127130533,-0.137695,0.13092,-0.549561,0.813538
1481274127146458,-0.13739,0.131042,-0.549866,0.813416
1481274127169461,-0.13678,0.130981,-0.55011,0.813354
1481274127191496,-0.13678,0.131287,-0.550354,0.81311
1481274127207470,-0.137207,0.131836,-0.550659,0.812744
1481274127229476,-0.137268,0.13208,-0.550964,0.8125
1481274127250547,-0.136963,0.132202,-0.551331,0.812256
1481274127266477,-0.136475,0.13208,-0.551758,0.812073
1481274127289478,-0.136169,0.131958,-0.552124,0.81189
1481274127310989,-0.136169,0.131836,-0.55249,0.811707
1481274127334495,-0.136108,0.131653,-0.552795,0.811523
1481274127349495,-0.135681,0.131348,-0.55304,0.811462
1481274127370569,-0.135315,0.131104,-0.553284,0.811401
1481274127394500,-0.135315,0.130859,-0.553467,0.81134
1481274127433068,-0.135315,0.130859,-0.553467,0.81134
1481274127435068,-0.135254,0.130615,-0.553406,0.811401
1481274127448068,-0.135437,0.130432,-0.553345,0.811462
1481274127469070,-0.135803,0.130371,-0.553162,0.811523
1481274127490071,-0.136169,0.130432,-0.553101,0.811523
1481274127506658,-0.136353,0.130188,-0.552979,0.811584
1481274127529666,-0.136108,0.129944,-0.552917,0.811707
1481274127557668,-0.136108,0.129944,-0.552917,0.811707
1481274127566669,-0.136414,0.130005,-0.552795,0.811707
1481274127589668,-0.136475,0.130005,-0.552795,0.811707
1481274127610756,-0.136414,0.130005,-0.552795,0.811707
1481274127626763,-0.136475,0.130249,-0.552734,0.811707
1481274127649766,-0.136292,0.130493,-0.552673,0.811768
1481274127670766,-0.135925,0.130737,-0.552551,0.811829
1481274127686767,-0.135681,0.130981,-0.552551,0.81189
1481274127709784,-0.135803,0.131592,-0.552429,0.811829
1481274127730792,-0.136047,0.13208,-0.552246,0.811829
1481274127746793,-0.136047,0.13208,-0.552246,0.811829
1481274127769793,-0.135925,0.132202,-0.552246,0.811829
1481274127790800,-0.135864,0.132446,-0.552185,0.811829
1481274127806381,-0.135986,0.132874,-0.552124,0.811768
1481274127836890,-0.136292,0.133423,-0.552002,0.811707
1481274127850891,-0.136047,0.133362,-0.551941,0.811829
1481274127865963,-0.135193,0.132996,-0.55188,0.812073
1481274127889890,-0.13446,0.132874,-0.551941,0.812195
1481274127910973,-0.134216,0.133057,-0.551941,0.812134
1481274127926642,-0.134033,0.133301,-0.551941,0.812134
1481274127949648,-0.134155,0.133789,-0.551819,0.812134
1481274127970651,-0.134338,0.134277,-0.551697,0.812134
1481274127986648,-0.134338,0.134827,-0.551514,0.812134
1481274128009230,-0.134094,0.135193,-0.551331,0.812256
1481274128030152,-0.133972,0.135559,-0.551147,0.812317
1481274128046144,-0.134094,0.136292,-0.550903,0.812378
1481274128069145,-0.134583,0.137329,-0.550476,0.812439
1481274128090228,-0.134766,0.138184,-0.550171,0.812439
