timestamp,x,y,z
1481274026718895,-0.0859375,-0.050293,1.01563
1481274026742914,-0.0898438,-0.0395508,1.02051
1481274026756909,-0.0898438,-0.0424805,1.00537
1481274026778916,-0.0810547,-0.0424805,1.02539
1481274026801921,-0.0898438,-0.0400391,1.01904
1481274026824920,-0.081543,-0.0292969,1.0127
1481274026838994,-0.0893555,-0.0419922,1.00195
1481274026862434,-0.0991211,-0.0351563,1.02832
1481274026875959,-0.0966797,-0.0366211,1.01904
1481274026898948,-0.0874023,-0.0351563,1.01367
1481274026921949,-0.0893555,-0.0415039,1.02197
1481274026937950,-0.0957031,-0.0361328,1.02393
1481274026958975,-0.09375,-0.0576172,1.01758
1481274026989984,-0.090332,-0.0493164,1.02344
1481274026995982,-0.0830078,-0.0234375,1.03125
1481274027018984,-0.0976563,-0.0517578,1.01904
1481274027041990,-0.0991211,-0.0737305,1.03369
1481274027056492,-0.0947266,-0.0551758,1.02637
1481274027079000,-0.109375,-0.0375977,1.01025
1481274027103076,-0.101074,-0.0366211,1.01563
1481274027125008,-0.0883789,-0.0473633,1.02197
1481274027139065,-0.0888672,-0.0507813,1.01318
1481274027162090,-0.0883789,-0.0561523,1.01709
1481274027176097,-0.0908203,-0.0507813,1.02051
1481274027199095,-0.100098,-0.0532227,1.01025
1481274027221098,-0.106445,-0.0483398,1.01611
1481274027236101,-0.109375,-0.0454102,1.01904
1481274027267173,-0.102539,-0.0498047,1.02441
1481274027281191,-0.100098,-0.0600586,1.01953
1481274027296116,-0.0976563,-0.0639648,1.01563
1481274027319118,-0.0859375,-0.0390625,1.01514
1481274027341190,-0.09375,-0.0375977,1.02979
1481274027356700,-0.0981445,-0.0522461,1.02441
1481274027379023,-0.0986328,-0.0634766,1.01709
1481274027401095,-0.0942383,-0.0478516,1.0293
1481274027434025,-0.123047,-0.0175781,1.05566
1481274027439098,-0.157715,-0.0517578,1.05713
1481274027461535,-0.104492,-0.155762,1.05762
1481274027476924,-0.0268555,-0.114746,1.06006
1481274027498896,-0.0424805,-0.0078125,1.04053
1481274027521917,-0.0917969,0.00830078,1.02783
1481274027544985,-0.111328,-0.0444336,1.01367
1481274027559404,-0.109375,-0.0444336,0.985352
1481274027581530,-0.102051,-0.00830078,0.97168
1481274027604452,-0.120605,-0.00244141,0.976074
1481274027619441,-0.114258,-0.00244141,0.975098
1481274027641442,-0.104492,-0.000976563,0.991699
1481274027659523,-0.0957031,0.00537109,1.00732
1481274027678833,-0.0913086,-0.0175781,1.00195
1481274027710930,-0.0810547,-0.0366211,1.01953
1481274027717833,-0.0893555,-0.0478516,1.021
1481274027738904,-0.0927734,-0.0375977,1.02051
