timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1481274026749907,1,0,1,-16,-41,-8,-3,0
1481274026749907,-1,-1,-6,-16,1,4,-1,-3
1481274026750407,0,-2,0,9,51,-5,-2,0
1481274026750407,0,-1,-1,-4,-3,6,1,3
1481274026763908,-1,-3,-2,7,-24,0,0,-1
1481274026763908,-2,-3,1,2,14,-5,1,0
1481274026771917,-3,-2,-3,-2,-22,-3,-2,-4
1481274026771917,-1,-1,-2,0,-5,0,-1,-2
1481274026786917,-1,0,0,-3,38,-1,-3,-2
1481274026786917,1,0,0,4,-7,-1,-1,1
1481274026787918,1,1,-1,-3,-9,-6,-2,-1
1481274026787918,0,-2,0,6,16,4,-1,-1
1481274026802918,-1,-1,-1,-4,-8,2,-2,0
1481274026802918,-1,-2,-1,3,14,4,3,1
1481274026808918,0,0,-1,5,6,-1,-2,1
1481274026808918,-3,-2,0,-5,-9,-4,-1,-2
1481274026824920,1,-3,-1,2,12,-1,2,0
1481274026824920,0,1,1,1,-12,-4,-4,0
1481274026831921,-2,-2,-1,2,22,2,3,-1
1481274026831921,-2,-2,0,0,-7,-3,-4,-2
1481274026846920,-2,0,-2,6,-1,4,1,-1
1481274026846920,-2,0,2,-7,-12,-2,-3,-1
1481274026847921,0,-1,-2,0,-24,0,-1,-1
1481274026847921,-1,0,-1,-4,-9,-3,-3,-1
1481274026862934,0,-3,-1,5,12,-11,-1,0
1481274026862934,-2,-1,-3,-7,-29,1,2,0
1481274026868945,-2,-1,0,-2,-13,0,1,-1
1481274026868945,0,-2,-2,-3,-5,-6,-3,-1
1481274026883947,0,1,-1,6,-13,3,1,-1
1481274026883947,0,2,0,4,3,1,0,-1
1481274026890946,0,-2,-3,-10,-6,-2,-3,-1
1481274026890946,0,-2,-3,-5,0,-15,-2,-2
1481274026906948,0,-2,-2,-6,2,10,6,2
1481274026906948,-1,-1,1,5,-3,1,2,-1
1481274026907948,-1,-1,-1,-7,-16,2,1,-3
1481274026907948,-1,-2,-5,-2,0,0,1,-2
1481274026922948,-3,-2,1,-10,-6,-3,-5,0
1481274026922948,-1,0,0,4,18,-1,-4,0
1481274026936949,0,-1,2,1,7,-1,0,-2
1481274026936949,0,-1,0,1,0,7,2,0
1481274026952473,-2,0,-2,0,8,0,-1,-2
1481274026952473,-2,0,-2,2,5,-3,-2,-1
1481274026952973,-2,0,-2,-15,-14,-2,-3,0
1481274026952973,-1,1,-3,1,16,-9,-3,0
1481274026967061,1,-2,1,10,43,3,1,0
1481274026967061,1,-4,-2,-5,-15,0,0,-2
1481274026967981,0,-3,-1,1,-4,-3,-1,-2
1481274026967981,0,1,0,-1,-1,-1,1,-2
1481274026990981,-1,-1,-2,-8,-31,0,-2,-2
1481274026990981,0,0,-1,-1,18,-5,-6,0
1481274026991982,1,0,0,1,9,3,0,1
1481274026991982,-2,-2,-1,-2,-6,1,-4,-1
1481274027003983,-1,1,0,3,-10,-1,-3,-2
1481274027003983,0,-2,0,-10,-15,2,0,-2
1481274027010984,1,-1,-2,12,13,-5,-4,-2
1481274027010984,0,-2,2,-1,-13,2,2,0
1481274027026983,1,0,0,-4,-9,-5,-1,-1
1481274027026983,-3,-4,-2,0,22,-5,3,-1
1481274027027983,-2,0,0,0,-12,-2,-1,1
1481274027027983,0,-1,-3,-6,-14,-1,-2,0
1481274027042986,0,-1,-1,2,17,-1,-1,0
1481274027042986,0,1,1,5,13,-2,-1,-1
1481274027048985,-3,-3,-2,-5,-39,0,1,0
1481274027048985,-3,-1,-2,1,21,6,1,-1
1481274027063993,-3,-2,0,-1,-8,-2,1,-1
1481274027063993,-3,0,-2,0,-17,-2,-2,-3
1481274027071074,-1,0,-1,1,27,1,-3,-1
1481274027071074,0,1,1,-2,-22,-6,-3,0
1481274027086000,0,0,-3,-6,1,4,5,2
1481274027086000,-1,0,-1,2,13,6,0,-2
1481274027103076,-1,-1,0,-1,-13,-2,3,0
1481274027103076,-2,0,-1,-4,-4,0,-2,-2
1481274027104001,-1,-2,-2,-2,-12,-4,-4,-2
1481274027104001,0,0,-1,4,19,-5,0,1
1481274027109076,0,-1,1,-1,-5,-1,-5,-1
1481274027109076,1,-1,0,0,13,6,3,1
1481274027125008,0,-1,-1,-3,-12,-7,-2,-2
1481274027125008,-1,-1,1,-8,-19,3,2,-1
1481274027131117,-2,2,2,17,36,2,-1,-4
1481274027131117,-3,0,-2,-6,-2,0,2,1
1481274027154589,-1,-1,1,3,-1,1,-1,1
1481274027154589,-1,-2,-1,-5,-3,-1,-5,-1
1481274027155587,-3,-3,-2,0,0,-3,0,-3
1481274027155587,0,1,0,0,-13,-4,-2,-1
1481274027163088,-1,-3,-2,3,-4,12,6,-2
1481274027163088,2,-1,4,-2,10,-1,2,3
1481274027169096,-3,-1,-2,1,20,0,1,1
1481274027169096,-2,-2,0,4,-7,-2,0,-2
1481274027192095,0,-3,-2,-5,-4,0,-6,-2
1481274027192095,-1,-2,-4,2,-2,-4,-1,-2
1481274027193096,0,-3,-1,-7,-12,0,-2,1
1481274027193096,1,0,0,0,-6,3,-1,1
1481274027206098,0,-1,-1,2,31,-5,-3,0
1481274027206098,-1,-1,0,-4,-38,4,2,-2
1481274027214098,2,0,0,6,22,-1,0,0
1481274027214098,1,-1,-2,-3,0,-1,0,-1
1481274027229097,-2,-1,1,2,-7,-6,-1,-1
1481274027229097,-1,1,-5,1,30,4,2,-1
1481274027230097,-1,-2,-1,-11,-22,0,-1,-2
1481274027230097,0,0,1,9,27,-6,-2,0
1481274027244179,0,-2,-4,-17,-12,7,5,0
1481274027244179,-2,-3,0,1,-35,-4,-2,-3
1481274027251605,1,0,-1,-1,24,-5,-7,-2
1481274027251605,-2,0,2,3,7,0,2,0
1481274027268113,0,0,0,2,13,-2,-7,-2
1481274027268113,0,1,-2,-3,-31,-1,-3,-1
1481274027274178,0,-1,-1,4,14,4,0,0
1481274027274178,0,-2,-1,-6,-13,-4,-2,1
1481274027289179,-4,-2,-1,1,-5,-4,-4,-1
1481274027289179,0,0,-2,-4,18,2,-1,-1
1481274027290115,-3,1,-1,6,-22,-5,3,-3
1481274027290115,-1,-2,-1,-3,-3,2,-2,0
1481274027304187,1,2,2,-1,1,-6,2,0
1481274027304187,-1,-2,-2,4,9,2,3,0
1481274027311187,0,0,0,-4,-9,-1,-4,-1
1481274027311187,-2,-2,-3,3,-21,-3,-2,-2
1481274027326166,-1,0,0,-2,1,1,1,1
1481274027326166,-1,-3,2,7,4,-5,-3,-2
1481274027334120,-4,-1,-3,-8,-27,4,2,-1
1481274027334120,0,-1,3,2,14,-1,-2,-1
