timestamp,x,y,z
1481274026718895,0.1875,-0.125,-1.75
1481274026742914,0.5,0.125,-2
1481274026756909,-1,0.6875,-1.8125
1481274026778916,-1.4375,1.0625,-1.375
1481274026801921,0.3125,1.3125,-1.5625
1481274026824920,-0.3125,0.625,-2
1481274026838994,0.1875,0,-1.875
1481274026862434,-1.125,1,-1.1875
1481274026875959,-0.5625,1.9375,-0.0625
1481274026898948,-1.8125,1.875,-0.375
1481274026921949,-1,1.0625,-0.375
1481274026937950,0,0.6875,-0.3125
1481274026958975,-0.5,0.6875,0.75
1481274026989984,0.75,0.5625,1.5625
1481274026995982,-2,0.375,1.3125
1481274027018984,-5.375,0.5,0.0625
1481274027041990,-2.4375,0.25,-0.25
1481274027056492,4.4375,0.5625,0.4375
1481274027079000,4.75,0.1875,-0.0625
1481274027103076,0.1875,-0.1875,0
1481274027125008,-2.4375,0.125,0.375
1481274027139065,-3.0625,0.5625,0.3125
1481274027162090,-1.6875,0.625,0.0625
1481274027176097,1.6875,0.625,0.0625
1481274027199095,0.9375,0.4375,0.1875
1481274027221098,-0.875,0.3125,0.125
1481274027236101,-1.5,0.5625,0
1481274027267173,-2,0.9375,-0.375
1481274027281191,0.3125,0.6875,-0.125
1481274027296116,3.6875,0.1875,0.3125
1481274027319118,2.875,0,0.8125
1481274027341190,-1.375,0.1875,0.4375
1481274027356700,-2.875,0.4375,-0.0625
1481274027379023,0.1875,0.5,-0.25
1481274027401095,3.375,0.6875,-0.1875
1481274027434025,1.6875,2.1875,-1.3125
1481274027439098,-6.4375,2.375,-3.5625
1481274027461535,-3.625,-0.125,-2
1481274027476924,13.5625,-3.1875,2.375
1481274027498896,18.4375,-3.875,1.25
1481274027521917,3.375,-4.6875,-1.8125
1481274027544985,-1.5625,-3.1875,-2.875
1481274027559404,7.9375,-2.4375,-2.5
1481274027581530,11.0625,-2.6875,-0.8125
1481274027604452,6.9375,-3.4375,0.625
1481274027619441,4.5,-3.3125,2.25
1481274027641442,0.75,-2.25,3.3125
1481274027659523,-1.75,-0.4375,3.5625
1481274027678833,-3.5625,0.625,2.125
1481274027710930,-3.25,1.4375,2.0625
1481274027717833,1.75,1.875,2.375
1481274027738904,0.6875,0.875,1.8125
1481274027769949,-4.5,-0.1875,1.8125
1481274027776868,-6.125,-1.0625,1.375
1481274027798872,-5.125,-1.375,-0.1875
1481274027822871,-3.875,-0.5625,-1.25
1481274027844872,-2.0625,0.3125,-2
1481274027859381,-1.4375,1.5625,-2.5625
1481274027882890,-0.25,1.75,-2.375
1481274027904970,2.25,0.75,-2
1481274027918890,5.4375,0,-1.6875
1481274027941897,5.875,-0.4375,-1.125
1481274027964983,2.875,-0.6875,-0.4375
1481274027986991,-2.6875,-1.375,-1
1481274028000990,-7.625,-1.125,-1.125
1481274028024991,-7.375,-0.9375,-1.4375
1481274028046993,-4.0625,-0.3125,-1.875
1481274028061501,-1.875,-0.1875,-1.875
1481274028085013,-1.9375,-0.0625,-1.8125
1481274028100014,-2.9375,0.5625,-1.8125
1481274028121016,-3.0625,0.4375,-2.25
1481274028145016,-2.1875,0.0625,-2.0625
1481274028159024,-1.1875,0,-1.8125
1481274028181526,-1.125,0,-0.75
1481274028213030,-2.125,-0.375,-0.6875
1481274028219031,-3.6875,-0.875,-0.25
1481274028241534,-2.9375,-1.1875,-0.125
1481274028273038,-1.625,-1.25,0.1875
1481274028279038,-0.375,-1.875,0.5
1481274028301541,1.0625,-2.1875,0.5625
1481274028325544,0.3125,-2.0625,0.4375
1481274028339046,-1.6875,-1.8125,0.125
1481274028361549,-2.3125,-1.5625,-0.5
1481274028384052,-0.875,-1.5625,-0.4375
1481274028399053,-0.8125,-1.75,-0.625
1481274028421556,-4.1875,-1.8125,-0.875
1481274028453061,-9.5625,-1.75,-0.6875
1481274028459061,-14.4375,-2.0625,-0.4375
1481274028490065,-19.9375,-2.5,-0.875
1481274028504067,-25.75,-3.375,-0.6875
1481274028519069,-29.0625,-3.125,-0.375
1481274028543072,-33.9375,-3.25,-0.875
1481274028564075,-44.75,-2.5625,-1.375
1481274028579077,-50.9375,-1.3125,-1.25
1481274028603079,-49.125,-0.9375,-1.5625
1481274028624082,-39.9375,-1.125,-0.75
1481274028639084,-30.125,-0.5,-0.3125
1481274028662087,-31.8125,-0.125,-1.1875
1481274028684090,-41.8125,0.3125,-1.9375
1481274028699091,-49.25,-0.25,-2.75
1481274028721594,-48.875,-0.0625,-2.375
1481274028744097,-53.25,2.3125,-2.4375
1481274028767100,-82,4.4375,-5.0625
1481274028781602,-117.375,4.8125,-7.0625
1481274028804105,-128.688,2.75,-5.25
1481274028827108,-110.563,2.5,-2.6875
1481274028841609,-100.938,2,-2
1481274028864113,-103.625,-0.4375,-0.5
1481274028882115,-102.313,-2.75,0.875
1481274028901618,-94.625,-2.625,2.5
1481274028933121,-90.25,-2.3125,2.625
1481274028939122,-79.5,-2.5,2.5625
1481274028961626,-66.6875,-1.125,2.3125
1481274028992129,-70.8125,0.5,0.9375
1481274029000630,-75.75,0.875,-0.625
1481274029021633,-65.9375,0.6875,-0.375
1481274029045636,-55.0625,0.5625,-0.75
1481274029060638,-57.4375,0.8125,-1.25
1481274029081640,-63.5,1.6875,-1.625
1481274029104143,-68.3125,2.4375,-2
1481274029120645,-70.6875,1.75,-0.4375
1481274029141648,-66.0625,1.5,2
1481274029164151,-64.8125,2.9375,2.75
1481274029186653,-70.25,4.0625,1.0625
1481274029201656,-68.6875,4.125,1.1875
1481274029224160,-57.9375,3.5,3.3125
1481274029246662,-52,4.0625,5.625
1481274029261663,-57.1875,5.1875,5.375
1481274029283672,-64.875,4.25,4.5
1481274029306673,-62.4375,2.8125,7.3125
1481274029321674,-58.75,4.4375,8.4375
1481274029343675,-65.1875,6.1875,7.3125
1481274029375690,-69.125,5.9375,7.25
1481274029381767,-65.1875,6.3125,8.875
1481274029403694,-65.0625,7.8125,9.0625
1481274029426695,-67.9375,7.8125,9.9375
1481274029449776,-67.375,7.375,11.8125
1481274029464295,-67.6875,8.125,12.3125
1481274029486895,-68.1875,8.9375,11.125
1481274029501885,-62.0625,8.6875,10.75
1481274029523802,-56.125,10.0625,11.625
1481274029546854,-56.4375,11,10.625
1481274029561881,-55.1875,10.1875,8.5625
1481274029584450,-49,8.5,7.4375
1481274029606483,-41.5625,7.5,9.375
1481274029621477,-37.625,7.5,10.0625
1481274029644409,-39.125,6.6875,9
1481274029666759,-35.875,5.6875,8.5625
1481274029681688,-28.375,7.125,6.5
1481274029703758,-26.6875,8.1875,5.125
1481274029726761,-26.5625,7.8125,5.1875
1481274029741694,-21.875,7.625,5.4375
1481274029764199,-14.125,8.5625,5.3125
1481274029786800,-18.75,10.6875,4.6875
1481274029801792,-29.5,11.6875,3.1875
1481274029823795,-30.8125,10.875,2.4375
1481274029846761,-29.1875,11.5,2.875
1481274029861808,-31.25,13.375,2.625
1481274029883831,-36.5,13.5,1.5625
1481274029906863,-39.6875,14.375,1.75
1481274029922831,-45.4375,16.75,1.25
1481274029943904,-51.25,16.9375,0.25
1481274029966912,-48.0625,14,2.125
1481274029982896,-36.1875,12.9375,4
1481274030004970,-31.875,13.25,3.25
1481274030026925,-30.125,11.375,2.375
1481274030042900,-26.875,11.1875,1.3125
1481274030063984,-30.3125,13,0.375
1481274030087016,-31.75,13.6875,1.125
1481274030103005,-29.75,12.875,0.8125
1481274030124077,-25.875,12,-0.375
1481274030147009,-23.9375,10.8125,0.5625
1481274030163018,-18.0625,9.25,2.4375
1481274030184041,-7.8125,8.125,1.6875
1481274030207041,-12.5,8.875,0.5625
1481274030223041,-29.875,8.6875,-0.25
1481274030244116,-33.25,8.4375,0.0625
1481274030266588,-4.8125,6.4375,3.625
1481274030282592,13.9375,4.75,4.625
1481274030303564,0.75,2.25,1.8125
1481274030326635,-11.0625,-0.3125,2.6875
1481274030342567,4.5625,-2.3125,6.8125
1481274030364075,13.1875,0.0625,4.4375
1481274030386130,3.375,1.9375,1.4375
1481274030403097,-0.3125,-0.625,1.9375
1481274030424100,7.8125,-2.375,5.5
1481274030447105,12.125,-0.625,4.9375
1481274030463181,5.5625,-0.375,2.625
1481274030484284,5.0625,-1.875,3.1875
1481274030506314,5.8125,-0.0625,1.9375
1481274030523218,5.8125,-1.25,0.4375
1481274030544221,10.1875,-2.0625,-0.25
1481274030566299,12.6875,-2.4375,-0.9375
1481274030583318,10.375,-1.9375,-2.0625
1481274030604379,-0.6875,-0.875,-3.5625
1481274030626322,1.75,-2.3125,-2.4375
1481274030643322,9.375,-2.125,-1.5
1481274030664332,11.5625,-2.625,-2.4375
1481274030686838,10.6875,-2.875,-2.5625
1481274030702838,6.125,-2.8125,-3.8125
1481274030723911,9.75,-4.5625,-3.25
1481274030746842,14.4375,-4.5,-2.75
1481274030762853,13.875,-5,-0.5
1481274030784378,13.625,-7.625,1.75
1481274030806449,6.9375,-9.125,3.0625
1481274030823378,6.875,-10.6875,3.375
1481274030844383,14.75,-10.1875,2.625
1481274030866486,22.125,-11,0.375
1481274030889523,28.125,-10.1875,-0.875
1481274030905508,18.1875,-7.375,-2.75
1481274030926595,14.625,-6.5625,-3.75
1481274030949557,20.3125,-6.875,-3.4375
1481274030965519,17.75,-5.8125,-3.1875
1481274030987027,2.9375,-4,-5.0625
1481274031009101,-7.75,-3.375,-6.5
1481274031025039,1.0625,-4.3125,-4.625
1481274031047031,14.5625,-2.6875,-4.1875
1481274031063112,9,-0.75,-5.5
1481274031085633,-0.3125,-1.3125,-6.3125
1481274031106705,6.625,-1.4375,-5.75
1481274031128634,20.125,-2.625,-6.1875
1481274031145636,28.1875,-3.625,-5.75
1481274031166718,26,-4,-6.5
1481274031188810,27.1875,-4.9375,-6.6875
1481274031205740,47.875,-7.375,-8
1481274031226743,88.1875,-11.3125,-8.875
1481274031248844,126,-15.0625,-8.25
1481274031265760,149,-15.3125,-8.25
1481274031286335,148.75,-13.6875,-8.5
1481274031309267,135.938,-11.125,-8.75
1481274031325267,119.25,-9.75,-5.125
1481274031346379,103,-11.6875,2.875
1481274031369088,95.75,-16.4375,4.25
1481274031393017,68.25,-16.375,1.625
1481274031407019,38.875,-14.5625,-2.875
1481274031429020,48.75,-16.1875,-2.75
1481274031445022,90.0625,-18,-0.625
1481274031466612,122.688,-16.3125,-1.25
1481274031489333,115.938,-14.625,-4.125
1481274031505264,116,-16.75,-1.0625
1481274031526335,130.438,-18.5625,0.25
1481274031549368,142.625,-19.4375,-0.9375
1481274031565823,149.938,-20.5625,-0.9375
1481274031586545,153.688,-22.5,3.4375
1481274031609526,152.125,-20.375,6.1875
1481274031625470,124.813,-16.5625,4.5625
1481274031646473,89.1875,-13.5625,-1.0625
1481274031668707,77.0625,-14.125,-1.75
1481274031685635,92.625,-15.125,2
1481274031709639,107.625,-14.75,3.125
1481274031728641,107.75,-13.625,2.75
1481274031745641,87.6875,-13.625,0.375
1481274031766715,71.125,-15,2.9375
1481274031789294,66.6875,-14.875,3.125
1481274031805226,67.1875,-12.125,1.0625
1481274031828225,69,-10.625,-0.9375
1481274031849269,73.4375,-11.25,-0.25
1481274031871171,71.8125,-10.75,0.5
