timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1481309332397044,-1,-2,-4,-1,-1,-1,-1,-2
1481309332397044,-2,-2,-1,6,-2,-3,-1,-2
1481309332404045,-2,-1,2,-2,-1,-1,-2,-1
1481309332404045,0,0,2,2,-3,-1,-2,3
1481309332420579,1,0,-1,-1,0,-1,-2,0
1481309332420579,1,1,2,-1,1,-2,2,0
1481309332422079,1,-1,-2,-2,0,0,0,-2
1481309332422079,0,-1,2,1,0,0,-1,-2
1481309332434581,-2,-3,-11,-2,-1,-3,-1,-2
1481309332434581,0,1,2,1,-1,-4,-2,-3
1481309332442581,-1,-4,-7,-2,-3,1,0,1
1481309332442581,-2,0,5,-2,0,1,-2,-1
1481309332458083,1,-1,3,1,-2,-2,-1,-1
1481309332458083,-1,-2,-8,-2,1,-1,-3,1
1481309332464085,-1,1,0,-1,0,2,0,1
1481309332464085,0,-1,-4,0,-1,0,-2,-1
1481309332480087,-3,-2,2,4,-1,0,-2,-3
1481309332480087,-2,-1,1,0,3,1,-2,-1
1481309332482087,2,0,1,1,-4,-1,1,0
1481309332482087,2,-2,-3,-1,0,0,0,0
1481309332494088,2,1,-2,-1,0,-2,0,-1
1481309332494088,1,-1,3,3,0,-1,0,0
1481309332502099,-1,1,1,-3,0,-2,0,-2
1481309332502099,-4,1,2,1,-1,1,0,0
1481309332517095,-1,-2,-4,1,0,-2,0,-2
1481309332517095,-1,-1,-2,-2,-3,-3,0,0
1481309332556097,-3,-5,-8,-3,2,1,0,-2
1481309332556097,-4,-2,4,2,-2,1,-4,-2
1481309332557097,4,1,0,1,1,-4,2,0
1481309332557097,1,0,-3,-2,-1,1,-2,-1
1481309332558099,-4,-1,1,-2,-1,2,-2,-1
1481309332558099,3,-2,-12,-2,-1,-4,0,-3
1481309332558099,0,2,9,-1,-1,-1,1,1
1481309332558099,-4,-1,-3,-1,-3,-2,-3,0
1481309332568098,0,-2,2,1,-2,-1,-2,1
1481309332568098,1,2,2,0,0,-2,3,1
1481309332577101,-3,-3,-3,-4,0,2,-3,-2
1481309332577101,-2,-2,-4,-2,-1,-2,-2,-1
1481309332583608,3,3,2,1,-2,-3,2,1
1481309332583608,-4,-2,-1,-2,-1,-2,-2,-1
1481309332599117,-2,-4,-7,-1,-2,3,-2,-2
1481309332599117,2,0,6,-1,3,-1,4,-1
1481309332606118,-1,1,2,1,-2,-4,0,-2
1481309332606118,-5,0,-2,-2,-2,1,-4,2
1481309332614117,0,-1,-2,3,1,-1,1,0
1481309332614117,0,-1,1,-1,-1,-3,0,-2
1481309332628119,0,-4,-4,1,1,0,-1,0
1481309332628119,-1,-1,-2,-1,1,1,0,-2
1481309332637119,-1,1,6,0,-4,-5,-2,-1
