timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1481268171569344,-7,1,-5,-2,-2,-8,-2,-5
1481268171569344,-3,-2,-4,-6,-9,-8,-5,-9
1481268171570842,6,2,4,1,4,9,2,1
1481268171570842,1,-1,-1,0,-3,-3,-2,-5
1481268171583845,-2,1,-2,-6,-2,-8,-5,-5
1481268171583845,4,1,2,1,5,3,4,6
1481268171585844,2,2,3,-1,-1,1,0,-1
1481268171585844,-1,-1,0,3,1,-2,-7,-6
1481268171597345,-1,-3,1,-3,3,2,0,-1
1481268171597345,0,1,4,3,6,1,6,2
1481268171606346,-4,-7,-4,-2,-1,-1,-4,-1
1481268171606346,-5,-3,-4,2,-2,-3,-3,1
1481268171620915,9,3,0,-3,-5,-2,-2,-1
1481268171620915,-2,2,-3,-10,-9,-3,-3,-3
1481268171627348,-3,-3,-4,-3,-2,-4,-5,-2
1481268171627348,1,2,3,-1,-4,0,2,-2
1481268171643851,-8,-5,-2,-9,-6,-10,-1,-3
1481268171643851,-4,-4,0,3,0,-3,-3,-7
1481268171645352,1,5,10,5,1,2,5,1
1481268171645352,0,4,-2,4,3,1,0,6
1481268171657352,-1,0,-3,3,-1,3,-4,-1
1481268171657352,0,0,3,6,12,4,1,0
1481268171666355,1,3,1,2,1,0,2,4
1481268171666355,-7,-6,-7,-12,-10,-8,-7,-7
1481268171680919,-5,-6,-7,-4,-7,-3,-2,-4
1481268171680919,3,-3,3,-2,0,4,2,6
1481268171687356,0,-5,-6,-5,-8,-6,-1,2
1481268171687356,-8,-6,-5,-7,-8,-6,1,-6
1481268171703859,5,4,6,9,15,11,5,4
1481268171703859,5,6,2,11,5,6,5,1
1481268171705358,-3,-6,-4,-1,-1,-5,-5,-1
1481268171705358,7,3,3,15,17,14,6,4
1481268171717360,1,-1,5,1,2,1,2,5
1481268171717360,-8,-9,-8,-14,-14,-10,-9,-6
1481268171726361,-5,-6,-8,-8,-4,-3,-5,0
1481268171726361,3,4,7,2,4,2,1,7
1481268171740864,-4,-7,-7,-12,-11,-9,-2,-6
1481268171740864,-7,-5,-3,-6,-7,-6,-6,-10
1481268171747364,2,6,8,5,8,6,5,9
1481268171747364,2,2,0,1,-1,2,-1,1
1481268171763866,-3,-3,-5,-2,-1,-2,-6,-7
1481268171763866,4,5,1,8,8,3,2,-1
1481268171765367,3,4,4,8,-1,6,3,5
1481268171765367,-7,-8,-9,-6,-3,-10,-1,-8
1481268171777369,-5,-3,-2,-1,-7,-5,-4,-1
1481268171777369,4,2,2,5,2,9,1,4
1481268171786378,-1,-2,-4,-7,-7,-6,-3,-10
1481268171786378,-8,-9,-5,-8,-10,-4,-4,-4
1481268171800456,10,5,4,6,-2,3,2,2
1481268171800456,-4,2,2,-2,-3,-1,4,1
1481268171807385,-6,-6,-5,-9,-12,-8,-9,-8
1481268171807385,5,3,4,-2,-4,2,-2,2
1481268171823958,1,-1,3,3,7,6,5,4
1481268171823958,-7,-6,-7,-2,-5,-6,-5,-5
1481268171824896,-3,3,-1,0,10,2,0,-3
1481268171824896,0,5,2,4,2,1,2,7
1481268171845895,-4,-3,-2,-3,-2,-2,-3,2
1481268171845895,-5,-10,-6,-6,-8,-3,-4,-7
1481268171847896,2,5,6,0,1,1,5,4
1481268171847896,-2,-8,1,-6,-4,-3,1,-4
1481268171868955,-7,-8,-9,-8,-5,-2,2,-9
1481268171868955,1,1,-1,-6,-3,-5,-4,8
1481268171869896,2,3,6,4,5,6,4,1
1481268171869896,-4,0,-3,3,2,3,3,-1
1481268171882896,3,7,4,6,8,3,2,5
1481268171882896,4,4,2,2,4,5,7,6
1481268171889897,0,-5,1,-4,-8,-3,-1,-6
1481268171889897,-6,-6,-5,-7,-2,-6,-5,-7
1481268171896899,-1,0,-1,-8,-8,1,5,2
1481268171896899,1,0,-5,-4,-4,-1,-2,-3
1481268171906908,-3,-7,-3,-9,-4,-7,-5,-3
1481268171906908,3,-1,0,-1,-6,2,-1,-2
1481268171920501,4,4,7,-3,-1,3,-2,-2
1481268171920501,-4,-3,1,4,6,0,-2,-4
1481268171927513,2,0,4,7,4,1,0,-1
1481268171927513,2,0,2,5,3,4,5,6
1481268171943433,-4,-3,-3,-1,-2,3,-2,-1
