timestamp,x,y,z
1481268171545838,-0.375,-7.6875,-3.5625
1481268171569842,0.25,3.25,-0.125
1481268171584846,1.0625,9.375,1.625
1481268171605846,1.3125,9.3125,2
1481268171621348,1.1875,1.625,2.3125
1481268171644350,-2.875,-11.0625,0.8125
1481268171665855,-1.8125,-9.5,-1.0625
1481268171681356,-0.125,-1.4375,0.5
1481268171704859,0.9375,5.25,3.5625
1481268171725862,0.4375,4.125,1.375
1481268171741363,-0.5625,1.625,-0.375
1481268171764867,-1,1.5,-1.875
1481268171785453,0.0625,2.6875,-0.5625
1481268171801378,0.8125,3.8125,1.5
1481268171823958,0.875,0.125,1.125
1481268171846896,0.3125,2.4375,-1.3125
1481268171868955,0,1.4375,-2.5
1481268171883896,0.875,2.1875,0
1481268171906404,1.75,7.8125,0.5625
1481268171921430,-0.1875,8.1875,-2.25
1481268171943433,-2.0625,1.8125,-3.5
1481268171966489,-0.1875,-3.0625,-1
1481268171981435,0,4.8125,2.625
1481268172003434,2.3125,8.25,1.5
1481268172026544,0,3.875,-0.25
1481268172041481,-0.5,2.125,-1.1875
1481268172063481,0.5625,-0.125,-0.1875
1481268172086516,0.6875,-0.9375,2.3125
1481268172101483,3.625,6.5,1.4375
1481268172131577,-0.625,0.4375,-2.6875
1481268172146644,0.3125,-0.4375,-1
1481268172161644,0.75,2.625,-0.25
1481268172183582,-1,-0.5,-1.875
1481268172207094,-1.6875,-5.75,-1.75
1481268172221103,-0.5625,-2,0.0625
1481268172244171,-0.6875,2.25,-1.3125
1481268172267106,-0.4375,-0.875,0.5625
1481268172281111,-0.5,-3.1875,-0.25
1481268172303110,-0.375,-1.875,0.3125
1481268172327164,-0.3125,1.125,-0.4375
1481268172341161,0.125,2.0625,0.125
1481268172364228,-0.125,-4.4375,1.375
1481268172416678,0.25,-7.25,0.5625
1481268172434188,0.375,-3.625,-0.1875
1481268172439193,0.3125,-1.625,-0.6875
1481268172450189,0.5,-3.0625,0.75
1481268172468190,0,-3.8125,0.5625
1481268172483293,0.5625,-2.5625,1.25
1481268172507202,-0.125,-2.625,5.125
1481268172527858,-1.0625,-4.1875,2.4375
1481268172543795,-0.8125,-3.625,3.6875
1481268172566800,-4.9375,-2.6875,-1.0625
1481268172587798,-5.375,1.3125,-4.75
1481268172610803,4.0625,22.125,-2.5
1481268172626854,-2.125,0.9375,0.3125
1481268172656854,0.9375,2.1875,-1.0625
1481268172672856,-1.6875,2.1875,-0.25
1481268172694906,-0.875,-2.4375,-1.375
1481268172708409,-0.5,-9.3125,-0.375
1481268172723386,-0.125,-5.75,0.1875
1481268172746380,-1.5,-1.8125,-2.125
1481268172768438,-1.25,-0.5625,0.3125
1481268172783378,-1.8125,-1.3125,-1.9375
1481268172806391,-1.75,-1.6875,-1.125
1481268172828467,0.8125,0.625,0.125
1481268172843401,0.8125,-1.125,-2.6875
1481268172866401,2.625,-1.8125,-2.3125
1481268172896404,-0.4375,-7,2.875
1481268172903409,-1.25,-3.625,-0.4375
1481268172926418,0.6875,3.75,-1.0625
1481268172949453,0.5625,3.3125,1.375
1481268172979421,0.3125,-0.375,1.25
1481268172986421,-0.25,-3.625,0
1481268173009941,0.0625,-0.5625,0.1875
1481268173023932,0.125,0.625,1.5625
1481268173052936,-1.5625,-3.0625,1
1481268173069438,-1.5625,-8.0625,2.3125
1481268173083940,-3.125,-8.3125,0.875
1481268173106442,-2.5625,-6.25,-0.625
1481268173129446,-2.375,-0.875,0.375
