timestamp,x,y,z,w
1481268171545838,0.649841,0.295898,0.632751,-0.2995
1481268171569842,0.649597,0.295898,0.632996,-0.299561
1481268171584846,0.648499,0.295227,0.634033,-0.300415
1481268171605846,0.647461,0.294617,0.634949,-0.301331
1481268171621348,0.647034,0.294312,0.635193,-0.301941
1481268171644350,0.648499,0.294373,0.634033,-0.30127
1481268171665855,0.649658,0.294922,0.632996,-0.300354
1481268171681356,0.650024,0.294922,0.63269,-0.300293
1481268171704859,0.649475,0.294312,0.633057,-0.301086
1481268171725862,0.649109,0.293945,0.633423,-0.301575
1481268171741363,0.648865,0.293762,0.633728,-0.301636
1481268171764867,0.648682,0.293762,0.634033,-0.301453
1481268171785453,0.648376,0.293579,0.634338,-0.301636
1481268171801378,0.647888,0.293335,0.634766,-0.302063
1481268171823958,0.647888,0.293396,0.634583,-0.302185
1481268171846896,0.647583,0.293518,0.634888,-0.302185
1481268171868955,0.647217,0.29364,0.635254,-0.302063
1481268171883896,0.646973,0.29364,0.635437,-0.302185
1481268171906404,0.646179,0.293396,0.636047,-0.302856
1481268171921430,0.645081,0.293091,0.637207,-0.303162
1481268171943433,0.644714,0.293152,0.637756,-0.302612
1481268171966489,0.644897,0.293396,0.637573,-0.302368
1481268171981435,0.644775,0.292908,0.637756,-0.302856
1481268172003434,0.643616,0.29248,0.638611,-0.303711
1481268172026544,0.64325,0.292297,0.638977,-0.303955
1481268172041481,0.642944,0.292236,0.639404,-0.303894
1481268172063481,0.642883,0.292236,0.639465,-0.303894
1481268172086516,0.64325,0.292175,0.638977,-0.304077
1481268172101483,0.642334,0.291992,0.639526,-0.305115
1481268172131577,0.642151,0.292114,0.639771,-0.30481
1481268172146644,0.642151,0.292114,0.639771,-0.30481
1481268172161644,0.641846,0.291992,0.640015,-0.305115
1481268172183582,0.641724,0.291992,0.640259,-0.304871
1481268172207094,0.642334,0.292297,0.639771,-0.304199
1481268172221103,0.6427,0.292236,0.639465,-0.304199
1481268172244171,0.642334,0.292175,0.639954,-0.304138
1481268172267106,0.642273,0.292114,0.639954,-0.304138
1481268172281111,0.642578,0.292297,0.639709,-0.303894
1481268172303110,0.642883,0.292297,0.639404,-0.303833
1481268172327164,0.642822,0.292236,0.639526,-0.303772
1481268172341161,0.642517,0.292114,0.639832,-0.303955
1481268172364228,0.643005,0.292114,0.639343,-0.303955
1481268172416678,0.643799,0.29248,0.638489,-0.30365
1481268172434188,0.644165,0.292725,0.638123,-0.303467
1481268172439193,0.644287,0.292908,0.638,-0.303345
1481268172450189,0.644531,0.29303,0.637634,-0.303345
1481268172468190,0.64502,0.293213,0.637146,-0.303223
1481268172483293,0.645325,0.293213,0.63678,-0.303345
1481268172507202,0.645813,0.292725,0.636292,-0.303833
1481268172527858,0.646484,0.29248,0.635742,-0.303833
1481268172543795,0.647095,0.292175,0.635132,-0.303955
1481268172566800,0.647522,0.291809,0.635254,-0.303223
1481268172587798,0.647705,0.29187,0.635681,-0.301941
1481268172610803,0.644592,0.291504,0.638367,-0.303223
1481268172626854,0.644592,0.291077,0.638611,-0.303162
1481268172656854,0.644287,0.291199,0.638794,-0.303284
1481268172672856,0.644104,0.290894,0.63916,-0.303223
1481268172694906,0.644165,0.290955,0.63916,-0.302979
1481268172708409,0.645203,0.291382,0.638123,-0.30249
1481268172723386,0.645874,0.291626,0.637451,-0.302185
1481268172746380,0.646118,0.291809,0.63739,-0.301697
