timestamp,roll,pitch,yaw
1481268171545838,-2.49746,-1.54319,0.226245
1481268171569842,-2.48862,-1.54485,0.217112
1481268171584846,-2.36105,-1.54715,0.0902464
1481268171605846,-2.21268,-1.54902,-0.0573669
1481268171621348,-2.13012,-1.54679,-0.136495
1481268171644350,-2.26077,-1.54672,-0.0101091
1481268171665855,-2.39002,-1.54336,0.11904
1481268171681356,-2.40623,-1.54451,0.133896
1481268171704859,-2.31123,-1.54031,0.0430202
1481268171725862,-2.25161,-1.543,-0.0179253
1481268171741363,-2.22461,-1.54344,-0.0448795
1481268171764867,-2.22219,-1.54558,-0.0488972
1481268171785453,-2.18433,-1.54582,-0.0863708
1481268171801378,-2.11907,-1.54737,-0.152158
1481268171823958,-2.11743,-1.5424,-0.148018
1481268171846896,-2.10436,-1.54544,-0.163535
1481268171868955,-2.08924,-1.54588,-0.177793
1481268171883896,-2.06451,-1.54582,-0.201564
1481268171906404,-1.95077,-1.54692,-0.314408
1481268171921430,-1.79753,-1.55118,-0.47126
1481268171943433,-1.76427,-1.54907,-0.498944
1481268171966489,-1.81461,-1.54916,-0.44865
1481268171981435,-1.74952,-1.55275,-0.521087
1481268172003434,-1.54618,-1.54626,-0.710712
1481268172026544,-1.48047,-1.54773,-0.779752
1481268172041481,-1.42867,-1.55185,-0.839485
1481268172063481,-1.41903,-1.55187,-0.849066
1481268172086516,-1.4741,-1.5476,-0.786562
1481268172101483,-1.34264,-1.54895,-0.921632
1481268172131577,-1.31525,-1.54785,-0.94538
1481268172146644,-1.31525,-1.54785,-0.94538
1481268172161644,-1.27041,-1.54905,-0.993506
1481268172183582,-1.24553,-1.54973,-1.0193
1481268172207094,-1.34036,-1.54738,-0.917386
1481268172221103,-1.39491,-1.54912,-0.86776
1481268172244171,-1.33192,-1.55355,-0.939093
1481268172267106,-1.3197,-1.54782,-0.939658
1481268172281111,-1.37368,-1.54989,-0.889598
1481268172303110,-1.42209,-1.54816,-0.837871
1481268172327164,-1.40785,-1.54844,-0.852712
1481268172341161,-1.35484,-1.55004,-0.909527
1481268172364228,-1.43196,-1.54989,-0.832997
1481268172416678,-1.57328,-1.54799,-0.687954
1481268172434188,-1.6439,-1.54967,-0.620819
1481268172439193,-1.67557,-1.55156,-0.592223
1481268172450189,-1.71817,-1.54749,-0.542606
1481268172468190,-1.79773,-1.54892,-0.466959
1481268172483293,-1.83203,-1.54837,-0.432966
1481268172507202,-1.84129,-1.54753,-0.425541
1481268172527858,-1.89196,-1.54735,-0.377199
1481268172543795,-1.92393,-1.54242,-0.340793
1481268172566800,-1.95515,-1.54426,-0.31408
1481268172587798,-2.00973,-1.54725,-0.263506
1481268172610803,-1.62132,-1.5486,-0.646137
1481268172626854,-1.59438,-1.54953,-0.676054
1481268172656854,-1.56042,-1.54912,-0.708253
1481268172672856,-1.51637,-1.54993,-0.75434
1481268172694906,-1.52769,-1.54867,-0.740159
1481268172708409,-1.699,-1.54701,-0.566787
1481268172723386,-1.80355,-1.54535,-0.460803
1481268172746380,-1.85613,-1.54775,-0.412518
1481268172768438,-1.8591,-1.54664,-0.408469
1481268172783378,-1.88082,-1.54772,-0.387883
1481268172806391,-1.93297,-1.54855,-0.337881
1481268172828467,-1.93297,-1.54855,-0.337881
1481268172843401,-1.95547,-1.55015,-0.316914
1481268172866401,-2.01614,-1.55523,-0.260714
1481268172896404,-2.08204,-1.54842,-0.189883
1481268172903409,-2.15179,-1.5453,-0.11822
1481268172926418,-2.10534,-1.55047,-0.168994
1481268172949453,-2.02527,-1.55042,-0.247961
1481268172979421,-1.99505,-1.54831,-0.275517
1481268172986421,-2.05162,-1.54811,-0.219676
1481268173009941,-2.05162,-1.54811,-0.219676
1481268173023932,-2.02365,-1.54793,-0.247828
1481268173052936,-2.04692,-1.54659,-0.224359
1481268173069438,-2.13972,-1.5464,-0.134915
1481268173083940,-2.22124,-1.54523,-0.0554925
1481268173106442,-2.30448,-1.54417,0.0265455
1481268173129446,-2.3033,-1.54088,0.0269239
1481268173150988,-2.29764,-1.54068,0.020505
1481268173168950,-2.31265,-1.53878,0.0360731
1481268173189453,-2.37098,-1.54053,0.092289
1481268173211956,-2.39859,-1.5423,0.11859
1481268173226458,-2.37314,-1.54228,0.0931496
1481268173249462,-2.33157,-1.54092,0.0525531
1481268173263963,-2.3317,-1.54207,0.0509497
1481268173286466,-2.39148,-1.54036,0.108509
1481268173309468,-2.43319,-1.53892,0.146493
1481268173323970,-2.43964,-1.53641,0.150495
1481268173346473,-2.45203,-1.53793,0.159713
1481268173369476,-2.49988,-1.53638,0.205329
1481268173390478,-2.56101,-1.53468,0.263584
1481268173406481,-2.54547,-1.53496,0.24601
1481268173429484,-2.58115,-1.53201,0.279228
1481268173450486,-2.62749,-1.53176,0.320587
1481268173466489,-2.58641,-1.53192,0.275638
1481268173489491,-2.53244,-1.53521,0.217846
1481268173511994,-2.49896,-1.53359,0.184637
1481268173526996,-2.44414,-1.53648,0.128441
1481268173549499,-2.41426,-1.53802,0.0960368
1481268173570501,-2.36526,-1.54009,0.0428699
1481268173586512,-2.34902,-1.54195,0.0232548
1481268173609513,-2.2192,-1.54583,-0.109519
1481268173630523,-2.15986,-1.54352,-0.166215
1481268173646515,-2.20713,-1.54567,-0.124976
1481268173669529,-2.17542,-1.54399,-0.156012
1481268173690553,-2.15848,-1.54474,-0.174386
1481268173706555,-2.20324,-1.54159,-0.127821
1481268173728559,-2.20542,-1.54223,-0.127135
1481268173750641,-2.2146,-1.54321,-0.119056
1481268173767565,-2.23216,-1.54361,-0.102213
1481268173788577,-2.26443,-1.54253,-0.0699148
1481268173813577,-2.29818,-1.53993,-0.0347956
